82,LG유플러스,"14,920","상승
				90",+0.61%,"5,000","65,142","436,611",37.81,"1,015,947",15.92,4.40,
83,KODEX 머니마켓액티브,"103,295","상승
				25",+0.02%,0,"64,399","62,345",0.00,"324,460",N/A,N/A,
84,에이피알,"168,400","상승
				7,600",+4.73%,100,"64,066","38,044",24.27,"604,289",47.91,41.34,
85,한화솔루션,"35,850","상승
				1,150",+3.31%,"5,000","61,623","171,893",13.38,"7,828,423",-6.32,-15.99,
86,키움증권,"238,000","하락
				2,000",-0.83%,"5,000","61,097","25,671",25.29,"147,193",8.16,15.98,
87,LS,"183,200","하락
				5,300",-2.81%,"5,000","58,990","32,200",14.33,"132,035",20.77,5.09,
88,현대차2우B,"161,400","하락
				200",-0.12%,"5,000","56,432","34,964",59.77,"74,493",3.52,N/A,
89,맥쿼리인프라,"11,510","하락
				70",-0.60%,0,"55,124","478,922",9.07,"787,759",N/A,N/A,
90,한국타이어앤테크놀로지,"44,300","하락
				200",-0.45%,500,"54,877","123,875",35.60,"373,149",5.09,10.79,
91,두산밥캣,"56,700","상승
				500",+0.89%,500,"54,350","95,856",33.93,"200,506",12.31,8.77,
92,넷마블,"61,900","하락
				100",-0.16%,100,"53,205","85,954",25.19,"190,594",52.32,0.49,
93,TIGER 미국나스닥100,"139,180","상승
				395",+0.28%,0,"52,457","37,690",0.05,"395,803",N/A,N/A,
94,LG생활건강,"330,500","상승
				1,500",+0.46%,"5,000","51,618","15,618",28.04,"28,924",32.39,3.44,
95,JB금융지주,"25,500","상승
				250",+0.99%,"5,000","49,447","193,908",34.34,"795,787",7.45,12.80,
96,BNK금융지주,"15,370","상승
				290",+1.92%,"5,000","48,936","318,384",39.45,"1,267,796",7.64,6.96,
97,삼성E&A,"24,750","상승
				50",+0.20%,"5,000","48,510","196,000",45.52,"594,375",6.51,19.65,
98,GS,"52,000","하락
				800",-1.52%,"5,000","48,316","92,915",16.50,"272,474",11.95,4.12,
99,TIGER CD금리투자KIS(합성),"56,285","상승
				5",+0.01%,0,"47,982","85,248",0.03,"633,464",N/A,N/A,
100,오리온,"120,700","하락
				700",-0.58%,500,"47,720","39,536",30.38,"75,087",8.92,16.57,
101,현대제철,"35,150","상승
				2,100",+6.35%,"5,000","46,906","133,446",18.08,"2,506,536",-47.69,-0.06,
102,KODEX 미국S&P500,"19,725","상승
				125",+0.64%,0,"46,847","237,500",0.10,"4,684,357",N/A,N/A,
103,CJ,"159,000","하락
				4,900",-2.99%,"5,000","46,391","29,177",11.13,"112,641",57.09,1.83,
104,LG디스플레이,"9,260","하락
				60",-0.64%,"5,000","46,300","500,000",20.99,"599,528",-2.27,-37.21,
105,현대오토에버,"168,200","하락
				100",-0.06%,500,"46,127","27,424",2.70,"39,522",27.96,10.40,
106,엔씨소프트,"212,500","상승
				6,000",+2.91%,500,"45,781","21,544",32.48,"64,645",62.35,2.99,
107,강원랜드,"20,350","상승
				50",+0.25%,500,"43,537","213,940",14.28,"335,149",9.93,12.09,
108,한국가스공사,"45,650","하락
				50",-0.11%,"5,000","42,141","92,313",9.94,"423,244",3.80,11.21,
109,이수페타시스,"55,700","하락
				1,900",-3.30%,"1,000","40,889","73,409",18.55,"1,205,528",38.98,24.92,
110,두산로보틱스,"62,100","하락
				1,000",-1.58%,500,"40,253","64,820",2.10,"148,753",-93.38,-8.69,
111,KODEX KOFR금리액티브(합성),"110,735","상승
				25",+0.02%,0,"39,620","35,779",0.00,"293,200",N/A,N/A,
112,SKC,"103,900","하락
				2,100",-1.98%,"5,000","39,345","37,868",13.38,"130,715",-7.54,-34.34,
113,CJ제일제당,"258,000",보합0,0.00%,"5,000","38,840","15,054",20.20,"26,855",57.19,1.97,
114,SK바이오사이언스,"48,500","상승
				150",+0.31%,500,"38,009","78,369",6.37,"64,638",-78.99,-3.07,
115,LG이노텍,"157,500","하락
				400",-0.25%,"5,000","37,276","23,667",23.47,"123,630",9.40,8.92,
116,현대차우,"158,100","상승
				100",+0.06%,"5,000","36,902","23,341",58.75,"112,428",3.45,N/A,
117,풍산,"131,100","하락
				2,400",-1.80%,"5,000","36,740","28,024",23.77,"261,669",15.26,11.33,
118,포스코DX,"24,150","상승
				150",+0.63%,500,"36,716","152,035",3.15,"390,106",43.75,17.92,
119,한미약품,"286,000",보합0,0.00%,"2,500","36,639","12,811",11.26,"32,793",33.64,11.89,
120,한화생명,"4,205","상승
				5",+0.12%,"5,000","36,522","868,530",10.69,"5,053,722",5.40,6.98,
121,에코프로머티,"51,100","상승
				1,950",+3.97%,500,"35,735","69,932",21.42,"1,025,411",-85.17,-5.56,
122,롯데지주,"33,900","하락
				1,300",-3.69%,200,"35,564","104,909",7.92,"618,517",-3.30,-15.56,
123,한전기술,"90,900","하락
				800",-0.87%,200,"34,742","38,220",11.77,"303,648",30.01,10.40,
124,KODEX 종합채권(AA-이상)액티브,"118,880","상승
				50",+0.04%,0,"34,571","29,081",0.00,"25,687",N/A,N/A,
125,현대엘리베이터,"87,200","상승
				300",+0.35%,"5,000","34,089","39,092",26.23,"243,116",16.31,14.42,
126,금호석유화학,"126,000","상승
				3,400",+2.77%,"5,000","33,339","26,460",18.56,"177,552",10.36,5.88,
127,TIGER 미국테크TOP10 INDXX,"24,830","상승
				150",+0.61%,0,"32,875","132,400",0.08,"2,830,576",N/A,N/A,
128,한미사이언스,"47,200","하락
				250",-0.53%,500,"32,281","68,392",1.86,"225,148",61.22,7.30,
129,KCC,"359,000","하락
				8,000",-2.18%,"5,000","31,902","8,886",9.65,"21,663",-27.14,6.08,
130,서울보증보험,"44,950","상승
				1,150",+2.63%,"2,500","31,385","69,822",1.25,"114,796",14.73,4.12,
131,동서,"31,000","상승
				200",+0.65%,500,"30,907","99,700",4.21,"63,372",20.81,9.52,
132,F&F,"79,800","하락
				1,300",-1.60%,100,"30,569","38,307",11.06,"39,520",8.79,25.27,
133,대한전선,"15,970","하락
				80",-0.50%,"1,000","29,776","186,447",7.09,"564,914",38.11,5.85,
134,롯데케미칼,"69,300","상승
				2,700",+4.05%,"5,000","29,643","42,775",21.73,"210,520",-1.63,-11.44,
135,TIGER 200,"43,120","상승
				115",+0.27%,0,"28,783","66,750",10.73,"3,036,268",N/A,N/A,
136,TIGER KOFR금리액티브(합성),"109,230","상승
				20",+0.02%,0,"28,314","25,921",0.00,"53,646",N/A,N/A,
137,KODEX 200TR,"15,370","상승
				45",+0.29%,0,"28,312","184,200",0.00,"750,453",N/A,N/A,
138,코스맥스,"247,500","하락
				15,500",-5.89%,500,"28,090","11,350",36.37,"119,942",37.61,20.53,
139,달바글로벌,"230,000","상승
				1,500",+0.66%,100,"27,833","12,101",7.86,"182,901",161.18,26.21,
140,산일전기,"91,150","하락
				1,650",-1.78%,500,"27,751","30,445",9.47,"202,038",28.36,29.88,
141,KODEX 미국나스닥100,"20,925","상승
				50",+0.24%,0,"27,684","132,300",0.24,"1,156,320",N/A,N/A,
142,한화비전,"54,700","하락
				100",-0.18%,500,"27,617","50,488",19.21,"705,791",86.14,N/A,
143,에스원,"71,300","하락
				100",-0.14%,500,"27,093","37,999",55.98,"22,828",15.21,10.85,
144,SK가스,"291,000","상승
				4,500",+1.57%,"5,000","26,904","9,245",7.32,"9,421",10.92,6.74,
145,이마트,"96,600","하락
				1,800",-1.83%,"5,000","26,658","27,596",25.00,"114,667",-4.93,-5.40,
146,신영증권,"160,900","하락
				1,700",-1.05%,"5,000","26,452","16,440",7.11,"95,402",24.35,6.45,
147,시프트업,"45,000","하락
				250",-0.55%,200,"26,452","58,782",37.61,"107,006",16.56,31.30,
